doc_id,doc_type,source,token_count
sample_66,sample,肯定不能接受，我想这是男性对自己种族的保护措施吧！如果接受和和人谈过恋爱的女人，就一定程度上等于接受黑黄混血，要不了几十年炎黄子孙就得灭绝。,13
sample_67,sample,感谢的太早了吧！多希望莆田的欧某死之前知道人间是有温度的。,4
sample_68,sample,你这匿名搞得我们不太好发挥呀😓😓😓,1
sample_69,sample,男人的权利得不到维护重视，女人被惯坏，都是因为这些伪君子们作出来的,5
sample_70,sample,+1但如果姑娘追求真爱跟黑人一起回非洲，我打心底里祝福他们俩????留在国内不讨骂蛮,8
sample_71,sample,支持正义剥削😆,2
sample_72,sample,复印还得是你们txl厉害，搁知乎上一复制来这一粘贴就把正常人的智商否定了，就那两个赞的文章谁信谁才智商有问题,9
sample_73,sample,挺正常的，上次有个采访，一个白人女嫁了中国人，也是被她的圈子踢掉。当你选择了异类，就要有被排斥的觉悟。不过，奇怪的是，娶了黑人，白人或者越南人的男性倒是很少见他们被排斥……,12
sample_74,sample,这波自杀真亏，为啥没把那个评论区的那几个女权们带走。,6
sample_75,sample,这样的假设，现实中并不存在或极端罕见,3
sample_76,sample,吧主是重庆的啊，你们那儿也算是重灾区了吧,1
sample_77,sample,看来同性恋只知道污蔑他人了,3
sample_78,sample,在家骂黑鬼出门惦念弗洛伊德？🤔,3
sample_79,sample,黑二代真是黑，偷渡来中国，连个回答都要学你碟黑着来匿名不敢明面回答,6
sample_80,sample,为什么要管啊，这是人家私事吧，求救了吗再说你这两张图?都看到好久的贴了,2
sample_81,sample,说的很对。但是吃屎的也不能要吃尿的强行认同吧！,3
sample_83,sample,上海朱家角,1
sample_84,sample,当时那个清华腚后面看监控也反转了，所以别去信小作文,2
sample_85,sample,经常听男的回家跪搓衣板，就说“正常啊，这不挺正常的吗？”，没听说过女的跪，如果跪搓衣板了，就“这是在家暴啊”，以前古代任意朝代都没有这样的哦,7
sample_86,sample,可以要求学校再装电梯，可以要求学校分开男女宿舍，不让人坐电梯是个什么鬼⁉⁉,6
sample_87,sample,也可以说，大多数中国人祖先都是古河南人。,4
sample_88,sample,阎王老子来了 我就是种族内个歧视了🐶帽子我自己带好,4
sample_89,sample,河南新疆回族人,3
sample_90,sample,哈哈哈哈哈我已经开始笑了,2
sample_91,sample,因为黑人女孩跟黑人男孩结婚，她们不要彩礼，黑人女孩跟中国男孩结婚，她们也不要彩礼；中国女人跟中国男孩结婚，她们要大额彩礼，婚后十指不沾阳春水，中国女人找黑人男人，她们不要一分彩礼，还没结婚也可以生孩子,12
sample_92,sample,人类中智商极端高的通常是红丸觉醒者，他们深刻认识到了母人吸血的本能和生命的雌本位底层代码，所以才把母人当成繁殖和泄欲的工具，或者干脆就是男同。,12
sample_93,sample,只能怪她没来黑人吧。,2
sample_94,sample,是吧，你实践过?这样来说歪果仁传给国女，国女传播慢?你调研过啊?找了1000个男的和1000个女的互相传播?男的找女人上床要么帅，要么出钱，要么其他我，有成本，女的没有传播成本。传播原理是一样的体液交,10
sample_95,sample,啥也别说了大哥，只能劝告你一句:小心大数据杀熟!,4
sample_97,sample,抖音可能是视频推荐的问题，看到的大多数视频要么是劝女性清醒的，要么是喷她们的。总之男性起码55开,10
sample_98,sample,艾呀，梅事的啦，疣没什么大不了的，中奖几率为淋，痿什么要担心呢，打个疱而已嘛，下次就不药啦,3
sample_99,sample,生下来做个鉴定就好了，不怕一万，就怕万一。怕的就是乌龙做了坏人,2
sample_100,sample,中国用不了多久稳稳立于公交车行业中心，做公交车龙头企业，坚持做到一车多用，多车一用，废旧公交车循环再利用，做到每一辆车都充分利用，公交车行业必定立足于世界中心,6
sample_102,sample,不想跟女人结婚的兄弟可以快乐的一起生活，互助。米格道不婚兄弟互助群,8
sample_103,sample,中国男人在哪里都吃香吗？你骗我吧。,2
sample_104,sample,动物一胎生的数量大，注定竞争更激烈,4
sample_105,sample,我补充一下，男的是不是可以坦白自己的pc史，这不比交往一个外国女友严重？,8
sample_106,sample,说的好，建议直接打砸抢,2
sample_107,sample,环保问题？你告诉我现在的环保组织谁不喷？威胁论本来就是中国的崛起威胁到了西方的利益，威胁论越疯狂，中国崛起的速度就越快。但是中国女性媚外呢？国内也不是没有例子，不用不承认了，你们就是媚外。😆,18
sample_108,sample,比如在父母面前抽烟的大孝子行为,3
sample_109,sample,呃呃什么大代表?,1
sample_110,sample,来看看蝈女的素质,2
sample_111,sample,上海人给丈母娘洗内裤🥺🥺老北京通天纹人上人🤭🤭🤭,2
sample_112,sample,你看你一讲这个，上面立马有个上海人讲自己见过河南人不好的经历了🤣，所以，这种话就不该说，说出来就是咱们被倒打一耙,11
sample_113,sample,我有一计：让她们出力禁止亲子鉴定短视的人会以为这对女人好，有远见的人会发现这解放了男人,7
sample_114,sample,广西没啥存在感.😅,2
sample_115,sample,长得丑就活该被变态骚扰 这什么逻辑,5
sample_116,sample,因为你还小，有很多事情不了解。黑不可能无缘无故的黑，肯定是存在问题的，这个为啥会出现这样的问题，还是出门打工的农村那帮人导致的，就像我那个时候认识的河南人那样，他自己把自己村里那帮人骂了个底朝天。其实,18
sample_117,sample,还说什么中国男人配不上中国女人的鬼话，真是带出一个好节奏，全球家庭暴力也好，情侣矛盾也好，都是人类共有的特点，非要扣帽子说只有中国人会这样，真是离谱！,11
sample_118,sample,因为种族优势，中国人普遍都很小,4
sample_119,sample,这样的人一辈子都不会被人看上吧,2
sample_120,sample,这个人哪个非洲国家的？,2
sample_121,sample,你要的证据来咯。毕竟我们不会乱造谣别人,5
sample_122,sample,咋们再反对也没用啊，上面不管。。。,3
sample_123,sample,如题，谁去接一下这个拳法,1
sample_124,sample,本来就要征服，哪有靠舔的,2
sample_125,sample,哈哈哈哈哈笑死我了，籹拳帖子下面全是鸡或麦片的这波叫做产业集聚,5
sample_126,sample,告诉她们，我家牛栏的公牛最近发春，吊又长又大，是真的大，不是怕片宣传挑出来的大，送给她们夜夜春宵，免费，没艾滋病,7
sample_127,sample,玩了孤岛惊魂再看这个帖子只能说真的太味了,3
sample_128,sample,最近钓鱼越来越没水平了😆,4
sample_129,sample,很民族主义的青年表示没有抨击她们外流，我很希望她们流出去，我抨击她们把黑黄后代留在中国！！！！,7
sample_130,sample,哈哈，好可怜,1
sample_131,sample,我还是觉得保加利亚妖王顺眼多了,1
sample_132,sample,应对的办法是走出去外娶。对于郭女，绝大多数郭女卸妆和恐怖片差不多。我是没有做推土机的欲望,8
sample_133,sample,如下，一击脱离是真的给异性恋当成武器了，可怜至极,4
sample_134,sample,石砸🐶叫了属于是，怎么就不配了？,2
sample_135,sample,日本为何分区实行，不一起呢,2
sample_136,sample,提到骗还有福建😅十个福建九个骗说的也不少,3
sample_137,sample,看图中这个不是反同的，同恋该时候承认是精神病了,3
sample_138,sample,开除女籍，下一位,2
sample_139,sample,中国大概2016年取消了入境艾滋病检查，南非的艾滋病病毒携带者高达25%，这还是黑非洲经济最好国家，其他的。😆😆你仔细想想。,10
sample_140,sample,在所谓“自立自强”中走向极端，然后彻底反智。管中窥豹，略见一斑，权拳二象性实乃真知灼见PS：素材来自吧中某帖一个破防幕刃的主页，欢迎仗义之辈同去屠?,7
sample_141,sample,我嫌弃他们丑😅,1
sample_142,sample,老外很老，一般发育早，在它家乡可能有老婆孩子了。20多岁相当于人类30、40岁夹你，你别回复评论。永远也改不了黑猩猩劣质人的性质。全世界都不欢迎黑，即是到了美国政治正确的国家，也不要你们，马上遣返回老,19
sample_144,sample,一群内斗的??在划分地域 来互相攻击,2
sample_145,sample,反变态吧吧名简洁明了，一看就懂,2
sample_146,sample,无论是有话可说，还是无话可说，遇到这类相亲对象，迅速抽身才是最佳的选择。不要恋战，更不要试图纠正对方错误的地方，因为这只会让你感觉到更加的无奈。毕竟一个人普且信是长久以来对自我的认知，不是你三言两语就,32
sample_147,sample,用粤语屌他啊 小北那边也很多黑人 我经常用粤语屌他们,3
sample_148,sample,应该是卖国贼那部分人，但我们绝对不能自我放弃,6
sample_149,sample,说得对，我们没法分辨谁是烂裤裆，那只能摆烂或者先自己变成烂裤裆了😄,4
sample_150,sample,您如此高傲的挑衅全体人民的行为可真是让人始料未及呢,3
sample_151,sample,我感觉男同性格残缺或是怪异的可能性很高，和普通人相比。有些人是因为某些事情刺激后天成为男同，然而这类人也容易变得很怪，很极端，甚至很恶心。我指其中部分人,14
sample_152,sample,喜欢我香香酱嘛,1
sample_153,sample,妇女权益保障法（修订草案）征求意见正在进行中，大家有意见赶紧去提！,7
sample_154,sample,跟那种人你说不明白的，抱抱你,2
sample_155,sample,饭桶皆深柜，不敢直面自己的内心,2
sample_156,sample,还得看咋陕西爷基佬死于艾,2
sample_157,sample,其他地方是地域黑，上海这个只是说了实话怎么能算黑,4
sample_158,sample,长三角某些媒体带坏了风向，经常以高高在上的姿态评价外省人，这些媒体才是地域黑的源头,6
sample_159,sample,所以请跟着外国男出国不要留在中国，尤其是默,7
sample_160,sample,都怪我我应该送花圈。这样以后也能用得上,2
sample_161,sample,所以，你到底想表达什么？跟黑人睡不违法，值得推荐，想让所有人认同？这样的话，怕不是应该去看看医生。还是说，你在维护女性的合法权益，可没有人不让你，只不过所有人都嫌弃，没人接盘，自己考虑好后果就完了。所,20
sample_162,sample,小仙女日常精神病,2
sample_163,sample,对对，越是大城市，越是开放的地方，就越是多。相反那些比较落后的地区到还不多,5
sample_164,sample,对滴，很多人的头里就是臭鱼烂酱全在他脑子里，不用和他们辩论，因为他们没有思考的部位。🍉,4
sample_165,sample,这明显不就是荣誉榜单嘛，就跟被美国制裁的企业名单一样🤭。,2
sample_166,sample,说给爷爷听，他们三个什么时候p过你的图？,1
sample_167,sample,图灵还要什么争议？帮助祖国和世界战胜了法西斯，然后却被自己的祖国迫害，悲剧自杀，图灵是反同碰不得的,9
sample_168,sample,（仅代表个人观点，不喜勿喷，杠精走开，并无嘲笑和讽刺的意味，如果有哪里语言不当致歉，如果有言论冒犯抱歉，只是单纯的觉得，我家里上有老下有小，请杠精远离，另外我父母还健在，不是孤儿，受过教育，非杠非黑，,24
sample_169,sample,你不是字吗？郭南郭朒分不清楚,1
sample_170,sample,我不结婚这个问题就不存在需要考虑？,5
sample_171,sample,没事，不是说舔狗很多吗？幕刃召唤舔狗就算了,5
sample_172,sample,我男的，我去女权吧发过言，评论被秒删并被禁言，我想知道男权吧为什么不这样做,4
sample_173,sample,它们只会骂中国男性，🐑跌跪舔还来不及呢,3
sample_174,sample,我不了解卫辉怎么黑山东的，你介绍一下，或给个网址如何？,4
sample_175,sample,混血，眼睛是蓝色，混了白皮猪的血,2
sample_176,sample,给大家看看他是如何在背后阴阳怪气说我们,4
sample_177,sample,人家把你弄舒服了你还告他，这750万就当作营养费,1
sample_178,sample,世界卫生组织周三建议男同性恋者及双性恋男性限制其性伴侣的数量，以避免自身感染猴痘及帮助降低该病毒的传播速度。世卫组织猴痘专家罗莎蒙德·刘易斯表示，男男性行为群体目前有着最高的猴痘病毒感染率。目前的感染,17
sample_179,sample,我的一个朋友在非洲工作过三年，他说只要是女的嫁给默，基本劝她辞职，要不就拿默的工资，一两千，没有回国假期，不报销任何费用，没假期，,8
sample_180,sample,男权吧老哥们还是比较理智哦，这要是男的发女权吧，可能已经让骂死了,7
sample_181,sample,我认识的都还好 这种好奇葩,4
sample_182,sample,姆🐶老是先开团，真的可怜，没事就骂男性。,4
sample_184,sample,浙江。。。八山一水一分田 改开前穷的排队去江西要饭的历史是忘了。1978年杭州GDP不如唐山。不知道哪来的什么自古富裕。就算现在，也就是一堆破厂子而已 有点小土豪 没什么文化，受教育程度全国倒数。直辖,15
sample_185,sample,西南省份确实在浙江真的是鄙视链底端,6
sample_186,sample,黑人乐园，快手上全是,2
sample_187,sample,确实，这点得学着人家小棒子,2
sample_188,sample,冬天南方没有暖气的，生生用身子抗，出了广东和海南可能好一点，南方还多山地，冬天确实冷，夏天也确实热，至于宜居不宜居每个人看法也不一样，你这属于硬扯,9
sample_189,sample,“中国特色地域歧视”，河南和东北数一数二严重的吧，基本是被压着骂，你有一个反击十个人骂回来，真的羡慕互黑的。。。,11
sample_190,sample,先解决孩子安全问题再说吧，基佬炼铜是人尽皆知的,4
sample_191,sample,补充一下，不只是黑人，只要是找过外国人的我都不能接受,6
sample_192,sample,用“是否”不准确，应该用百分比,3
sample_193,sample,这算啥啊，有的人喷就就喷呗，喷了又不对喷，直接拉黑，有够搞笑的,3
sample_195,sample,事实上不用想那么远。多数人是在活着的时候，就可以从生育中得到收益。有些人不能得到。或者有些人认为支出不平衡。或者有些人根本只是被别人当成工具在用。如果强行要求每个人生育，那就是不合理的。永生是一种幻觉,21
sample_196,sample,奥巴马能算黑人，因为奥巴马老爸是非洲纯黑，按中国的父系决定论奥巴马是黑人,3
sample_197,sample,我猜你是河南陕县以西某个地方的。,2
sample_198,sample,骗婚什么时候没被抵制了吗，这本来就是个错误的行为啊，但你说的是抵制男同这个群体,7
sample_199,sample,二战结束后，很多非洲之国派遣很多留学生进入前苏留学，但后来他们不得不退学回国。刚开始苏府对这些非洲留学生关爱有加，就像家庭一样温暖，给予很多优待的福利。可惜这些留学生，基本上非富即贵，在前苏根本不是为,49
sample_201,sample,山东一旦被黑就是两性问题😅,2
sample_202,sample,有吧友知道吗？能细说这件事的过程吗？,2
sample_203,sample,正常人还是占大多数的，那些热评是什么成分大家都懂吧,4
sample_204,sample,n死了没有,1
sample_205,sample,水文是水文，我又不是没把国内女权的德行放出来。你也不用来扣帽子。😆,5
sample_206,sample,笑死我了，少说一句不会死，发个帖也不会长命百岁,2
sample_207,sample,看到你这帖子，确定你就是***媚嘿奴隶了,4
sample_208,sample,你们同性恋不包容反同可以拉黑对方龟缩在家里不见人见光就可以了，你们同性恋不需要来这个吧，有拉黑功能可以让你们逃避现实活在自己的世界里。同性恋太丢脸太恶心了一定要拉黑回避正常人。反同是正常的逃不逃避拉不,15
sample_209,sample,你不会把qq号发出来吗？,2
sample_210,sample,女的啊，那没事了,1
sample_211,sample,国人为什么崇洋媚外？因为我们从小就被这样教育的，外国人比中国人好，比中国人强。而小学女生比男生学习更好，学的更深入。哪里见了外国人不去死贴啊？结果黑人也是外国人，国人都想去做朋友，结果男的被骗钱，女的,14
sample_212,sample,这女的也太肤浅了,1
sample_214,sample,我以前是同性恋后面喝中药调理好了，药方如下:柏子仁二钱半、白蔹二钱、白术三钱半、桂心一钱半、附子一钱。用法:蜜制丸，每日早中晚饭前各服3~5丸(约3~5克)，一律白开水服下，服药期间每晚用热水洗，浸一,7
sample_215,sample,我是否可以认为，你说的是废话,2
sample_216,sample,被大姐举报没了正义的百度,4
sample_217,sample,还没影响到啊😓，同性才是真爱，异性只为繁衍是谁说的？😓,3
sample_218,sample,讲道理，没存在感是好事，出事甩锅都甩不到自己头上😜,5
sample_219,sample,冷知识，提出全程录音录像的领导是从上海过来的……,6
sample_220,sample,我身边还没见过一门心思娶外国女人的呢，这例子没意思。关键是网络风气，这玩意跟现实要分开来看。,11
sample_221,sample,一眼丁真，能不玩这种p图恶搞了吗，整点正能量的,2
sample_222,sample,我真的太害怕江苏人了，跟他们唠两句，必提到GDP😆😆,4
sample_224,sample,……丢我俩室友说透的时候没叫算不算细节,1
sample_225,sample,但是默我真的很讨厌,2
sample_226,sample,你只是一个一无是处的人，所以你没要求，有个女的跟你就不错了，还敢有要求？😅,3
sample_227,sample,冲，我们今天都是肖万,1
sample_228,sample,女孩泛指0~18岁的女子过了18岁叫妇女，结了婚叫声阿姨女士不过分吧,3
sample_229,sample,就像黄人黑人在美国，他们确确实实弱势，会被歧视,3
sample_230,sample,不知道吃那种清一色白色得那种食物的人生活得多不如意,3
sample_232,sample,东北人声音比较明亮，可能是我们这边比较冷，所以说话底气可足了，感觉自信满满哈哈南方人说话比较温柔声线也挺好听，给人感觉很舒心很柔和～我倒是都很喜欢！但是作为东北人我尤其是喜欢浙江人的声音，真的是声线柔,13
sample_233,sample,时代变了，谁还偷这玩意，费劲还不挣钱，假和尚在河南才多🤣🤣🤣🤣,3
sample_234,sample,没那么宽容啊，歧视确实有啊，都承认，包括现在年轻一辈的人都带有隐形的歧视或者说优越感更贴切，但这网上也太夸大了吧，什么问个路被白眼，买个东西被白眼，我出门都不说上海话活了十几年也没碰到过这种事情啊😅让,26
sample_236,sample,而且视频中对其他异性恋企鹅的描述也显示其别有用心,4
sample_238,sample,屏幕跟前我已经开始笑了，不好意思🤭,2
sample_239,sample,本人确实不买这种商品！,3
sample_240,sample,看这哥们的回答 他好像受到过什么刺激,5
sample_241,sample,改变一个人的观念好比愚公移山，没有天神下凡这辈子也移不完。无需讨论，仁者见仁，有判断力的人不会地图炮,5
sample_242,sample,主要是白女国男也娶不到啊,2
sample_243,sample,这下总结的挺正确的捏,2
sample_244,sample,违法不是犯罪,3
sample_245,sample,异性恋属阳，是正常的，同性恋属阴，是不正常的,3
sample_246,sample,谢谢ys让我更加坚定了单身下去的决心,4
sample_247,sample,别说得好像中国男人很负责一样。忽悠自己是最大的傻,6
sample_248,sample,心疼一下你，要被地域黑喷三回，第一次是你的户籍，第二次是你的祖籍，第三次他们就会骂你的的民族和宗教了,6
sample_249,sample,新疆人被防着的是回纥，答主你们可是新疆的定海神针啊,2
sample_250,sample,实话说吧，就是不行，说啥也不行，天王老子来了也是不行,2
sample_251,sample,这个鸡佬，喜欢精神胜利，是一个辣鸡，真是笑死人,4
sample_252,sample,怼女拳的角度多了图里这位说的跟你说的没有冲突,5
sample_253,sample,真的牛批嗷,1
sample_254,sample,你看评论，还不是说祖坟冒青烟，我觉得都差不多吧,4
sample_255,sample,可不可以把江西也红了⁉,1
sample_256,sample,我感觉正好相反，楼主应该多了解普通女生的诉求，少看一些极端言论,10
sample_257,sample,以偏概全，就是你的思维方式？希望你早日脱离这种落后的思维方式，八婆其实也是一种落后的思维方式导致的行为方式。@百舸争流,9
sample_258,sample,要不你和你老公说下，看看啥反应,3
sample_259,sample,属于是因噎废食了,1
sample_260,sample,据说这是极端女权,4
sample_261,sample,杀软谐音，狗才用,1
sample_262,sample,更正下，最近几年。。。这输入法有点毛病,4
sample_264,sample,支持正义执行！txl再不管管，气候变暖又要加重了。,3
sample_265,sample,是啊，针对中国女性。毕竟在韩国人眼里，就是因为中国女性倒贴拉低了亚裔女性的地位。😓,9
sample_266,sample,现在欧洲就是西欧北欧难民多,3
sample_267,sample,我直接承认我不是男人,4
sample_268,sample,您说的有点客观。,2
sample_269,sample,黑人到底是发明了足球或者蹴鞠这项运动呢？还是参与了最初游戏规则的指定呢？都没有吧。,5
sample_270,sample,原来这就是传说中的冒充理中客，带歪不明辨是非的人呀😎,1
sample_271,sample,和我们有关系吗？兄弟,2
sample_272,sample,我是四川人，当初我的舍友怀疑我是小偷,4
sample_273,sample,悄悄，这位师爷就是装糊涂的高手！😄,1
sample_275,sample,😆😆😆我也是在网络上看见好多中国男的找黑人结婚，找东南亚女的结婚,7
sample_276,sample,那还有假，这些黑醋最喜欢做的事就是伤害别人，干违法乱纪的事,3
sample_277,sample,黑色不符合中国人的审美观！！！,1
sample_278,sample,发不出来，感兴趣可以去知乎搜同名文章,3
sample_279,sample,这问题让我明白为什么基佬在唐山不会被打。基佬染艾原来是为了防身！,6
sample_280,sample,处情的和处情的在一起其他人和其他人在一起互不相干多好。（这是一个理想状态，楼主他的假想也是他的理想状态，都不可能实现）,7
sample_281,sample,我好奇的是山东人特别是高密人怎么看待莫言的作品。,4
sample_282,sample,每个在华黑人都会有3个以上的eg,4
sample_283,sample,现在喜欢偷窥南人上厕所，真是从小边台到大。,5
sample_284,sample,最离谱的是冒着风险跟他媳妇儿pp还生孩子了他是什么nt这跟医院检查有什么关系他在不确定风险的情况下跟媳妇儿pp不就是对他媳妇儿的不尊重吗也没给他媳妇儿当个人啊他媳妇儿不过是个繁衍工具罢了吧不先想想能不,16
sample_285,sample,所以你就黑上海😅,1
sample_286,sample,这个鸡佬，喜欢精神胜利，是一个辣鸡,3
sample_287,sample,吃饭也是人的弱点，要不咱饭也别吃了？,1
sample_288,sample,现在年轻人为了结婚，买房，买车，养孩子，掏空家里全部积蓄，阶级的固化让年轻人上升空间变的越来越小，大部分人都碌碌无为一辈子，生活压力巨大，越大型的城市压力越大，重压之下人本能的就会逃避，会不会变成日本,21
sample_289,sample,当你扔出去一块砖头，狗叫了就说明砸到狗了😆所以如果问心无愧就不要对号入座,4
sample_290,sample,就算y染色体消失了男性也不会消失，参考蜜蜂后来靠染色体倍数来区分性别，环境影响下，且不论人类能否延续到y染色体消失的时候，到时候基因的改变就不是依靠y来区分男女了,14
